,NAME,ADDRESS,City,State Code,Zip Code,County,Rural Versus Urban,FTE - Employees on Payroll,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges (V + XVIII + XIX + Unknown),Total Days (V + XVIII + XIX + Unknown) + Total for all Subproviders,Number of Beds + Total for all Subproviders,Total Bed Days Available + Total for all Subproviders,Total Discharges (V + XVIII + XIX + Unknown) + Total for all Subproviders,Hospital Total Days (V + XVIII + XIX + Unknown) For Adults &amp; Peds,Hospital Number of Beds For Adults &amp; Peds,Hospital Total Bed Days Available For Adults &amp; Peds,Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults &amp; Peds,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated Care,Total Unreimbursed and Uncompensated Care,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Depreciation Cost,Total Costs,Inpatient Total Charges,Outpatient Total Charges,Combined Outpatient + Inpatient Total Charges,Wage-Related Costs (Core),Wage-Related Costs (RHC/FQHC),Total Salaries (adjusted),Contract Labor,Wage Related Costs for Part - A Teaching Physicians,Wage Related Costs for Interns and Residents,Cash on Hand and in Banks,Temporary Investments,Notes Receivable,Accounts Receivable,Less: Allowances for Uncollectible Notes and Accounts Receivable,Inventory,Prepaid Expenses,Other Current Assets,Total Current Assets,Total Fixed Assets,Investments,Other Assets,Total Other Assets,Total Assets,Accounts Payable,"Salaries, Wages, and Fees Payable",Payroll Taxes Payable,Notes and Loans Payable (Short Term),Deferred Income,Other Current Liabilities,Total Current Liabilities,Mortgage Payable,Notes Payable,Unsecured Loans,Other Long Term Liabilities,Total Long Term Liabilities,Total Liabilities,General Fund Balance,Total Fund Balances,Total Liabilities and Fund Balances,Managed Care Simulated Payments,Total IME Payment,Inpatient Revenue,Outpatient Revenue,Gross Revenue,Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio,Net Revenue from Medicaid,Medicaid Charges
3289,MERCY HOSPITAL ANDERSON,7500 STATE ROAD,CINCINNATI,OH,45255-0589,HAMILTON,U,924.66,"50,564",257,"93,805",14337,"56,310",282,"102,930","14,842",41126,220,80300,14337,2737615,23349838,8413725,16890883,63006944,151919283,2691837,193986966,607699895,453009468,1060709363,15328817,0,63006944,2410466,0,0,270007,0,63469,96512118,-68865468,6960608,100359,0,39038353,0,0,3590786,3590786,155402005,24127967,0,0,265654,0,1773319,26166940,0,1452034,0,2572273,4024307,30191247,125210758,125210758,155402005,26518370,0,609868279,450845448,1060713727,245493242,214761821,30731421,2365154,33096575,151186,32945389,0.18,18610947,150533688
3290,SOUTHERN OHIO MEDICAL CENTER,1248 KENNEYS LANE,PORTSMOUTH,OH,45662-,SCIOTO,R,"2,214.31","37,221",192,"70,272",9422,"64,852",225,"82,350","9,951",32423,176,64416,9422,5358863,23151275,12592346,70910583,132549484,222075617,16128274,303957787,417792800,666268156,1084060956,53128529,0,131300764,0,37019,76,85901858,0,0,42723034,0,8343185,3108543,2172498,142249118,0,297867995,9607714,307475709,601423031,20424907,0,0,5820000,0,74594478,100839385,0,133498008,0,16088028,149586036,250425421,350997610,350997610,601423031,11344049,100777,417792995,666279700,1084072695,347083052,355364801,-8281749,63871158,55589409,41463970,14125439,0.28,49819147,396348427
3291,UNION HOSPITAL ASSOCIATION,659 BOULEVARD,DOVER,OH,44622,TUSCARAWAS,R,761.53,"14,550",88,"32,120",3807,"25,967",98,"35,770","3,972",6841,50,18250,3807,2050720,7363928,5558796,10631782,46864824,65756603,4484540,96139666,64795883,177314426,242110309,12156655,0,46864824,71253,0,0,2358827,0,0,37731531,-19331749,2047713,930374,79939641,104606234,0,41686502,1790062,43476564,183854405,4305183,5120978,0,0,0,34789144,44215305,0,0,0,45691336,45691336,89906641,93947764,93947764,183854405,5534845,0,65775265,186894869,252670134,100992460,112621427,-11628967,9600713,-2028254,0,-2028254,0.4,8402801,36365065
3292,GRANT MEDICAL CENTER,111 S. GRANT AVE,COLUMBUS,OH,43215,FRANKLIN,U,"3,540.34","97,931",444,"162,419",17672,"98,147",444,"162,419","17,672",83092,409,149609,17672,28664135,52603553,52232758,107153494,279479644,422939360,13641905,609683019,1279072877,1575237890,2854310767,49934662,0,277655250,1902109,672118,1736816,651326,0,0,297980508,-222823261,11810645,1269705,9570173,102542397,0,0,18306959,18306959,320082591,16235163,26334790,0,45214260,0,79977392,167761605,0,0,0,271075409,271075409,438837014,-118754423,-118754423,320082591,38938128,4785486,1279228049,1575704444,2854932493,762163937,702419076,59744861,29573924,89318785,0,89318785,0.21,109149931,804066073
3293,MOUNT CARMEL HEALTH,6001 E BROAD ST,COLUMBUS,OH,43213,FRANKLIN,U,"3,835.67","131,881",576,"210,610",28691,"134,149",576,"210,610","28,691",98906,431,157648,28691,12971380,36265809,26193311,82679833,262632731,415941223,69463564,704263413,1397080251,1061770482,2458850733,70950525,0,262632731,12516020,24868,1210884,10552762,34404390,0,332211186,-241319138,16521034,481794,0,228059837,0,0,201188271,201188271,1045445632,124709910,13645902,0,2250805,0,4270874,144877491,0,0,0,23673788,23673788,168551279,876894353,876894353,1045445632,89458233,4262721,1396642415,1103993882,2500636297,683374562,799437688,-116063126,66995253,-49067873,9704221,-58772094,0.29,62578245,415699906
3294,MERCY HOSPITAL OF HAMILTON/FAIRFIELD,100 RIVERFRONT PLAZA,HAMILTON,OH,45012,HAMILTON,U,"1,037.37","50,525",199,"72,635",13713,"55,432",214,"78,110","14,105",36579,163,59495,13713,3893362,29093368,10345285,22320637,70973984,170736002,14818087,217149805,608434896,618629766,1227064662,17362591,0,70973984,734207,0,0,369373,0,0,116673116,-88168579,8090896,878248,0,42164378,0,0,6967270,6967270,137579562,26501907,0,0,2106831,0,1599214,30207952,0,25750393,0,0,25750393,55958345,81621217,81621217,137579562,25636224,0,608434895,618729005,1227163900,266544281,241709986,24834295,3135349,27969644,0,27969644,0.18,20717146,184737819
3295,ST VINCENT MEDICAL CENTER,2213 CHERRY STREET,TOLEDO,OH,43608,LUCAS,U,"2,314.11","77,811",332,"126,655",19680,"77,854",332,"126,655","19,680",36689,163,64970,19680,6288903,40399867,13349666,39823568,151901653,407334896,30488014,453531687,1677417545,1442537048,3119954593,33829336,0,151901653,28189179,0,2444950,388925,514746,0,115439796,-45015292,12527320,1301052,298375,119591915,0,0,7525788,7525788,380149335,52532590,94887,0,0,0,14838197,71853657,11725308,0,0,11195508,22920816,94774473,285374862,285374862,380149335,29169626,8051684,1677417546,1455892123,3133309669,509209279,559236549,-50027270,39582734,-10444536,298,-10444834,0.15,92507605,885814376
3296,CLERMONT MERCY HOSPITAL,3000 HOSPITAL DRIVE,BATAVIA,OH,45103-,CLERMONT,U,561.91,"27,694",131,"47,815",7175,"30,391",147,"53,655","7,494",24245,115,41975,7175,2049176,19981774,6465312,11767903,39078954,73541162,1466395,100277208,244106215,353578838,597685053,9301422,0,39078954,476042,0,0,199915,0,0,29831310,-15131741,2433392,200312,0,19370010,0,6793382,12619234,19412616,79746616,12441375,0,0,0,18191,11618806,24078372,0,0,0,192064,192064,24270436,55476180,55476180,79746616,12114805,0,244136488,353991517,598128005,123764862,112620116,11144746,1732389,12877135,0,12877135,0.17,16220098,129794022
3297,SYCAMORE HOSPITAL,2150 LEITER ROAD,MIAMISBURG,OH,45342-,MONTGOMERY,U,805.71,"33,209",168,"61,320",8904,"33,209",168,"61,320","8,904",30595,156,56940,8904,1894408,16815731,6668941,13363408,52200228,78368114,7518259,126521496,361840193,508148059,869988252,13890991,0,52200228,704260,0,0,249693,0,0,115203496,-95231462,2582852,600155,7484757,31805409,0,0,32061663,32061663,127808245,3956401,5171908,0,276321,0,1936217,11340847,0,22475127,0,13102332,35577459,46918306,80889939,80889939,127808245,15085461,454773,361840201,518651728,880491929,176553183,160910616,15642567,32805098,48447665,1,48447664,0.15,16863701,156060327
3298,NORMAN REGIONAL HOSPITAL AUTHORITY,901 N PORTER,NORMAN,OK,73070-,CLEVELAND,U,"2,626.64","65,572",333,"121,878",15404,"76,157",383,"140,178","16,538",49290,256,93696,15404,15561556,67755851,28006549,28006549,228885772,258697909,21478912,327182401,897854234,1125232073,2023086307,36341291,0,228885772,639912,33928,444740,19854881,0,0,291191282,-227268351,14223011,4171345,0,104967738,0,255092228,129046171,384138399,687422096,17574745,30302478,0,6396786,0,29288,54403116,0,279718008,0,9873598,289591606,343994722,343427374,343427374,687422096,14161396,1832099,911107441,1269349995,2180457436,461770644,487583681,-25813037,28224634,2411597,0,2411597,0.16,21318155,185714584
3299,ST MARYS REGL MEDICAL CENTER,305 SOUTH FIFTH STREET,ENID,OK,73701-,GARFIELD,U,547.35,"18,823",142,"51,830",5070,"23,146",164,"59,860","5,415",16115,131,47815,5070,3171525,15550047,5489912,7441085,30124303,77120712,5972372,83306243,296696226,300641877,597338103,7062846,0,30813307,1804797,0,0,247114,0,0,33981712,-22489560,3114539,562243,0,15513134,0,0,3031775,3031775,62113803,3409605,2492136,0,0,0,-497833,5403908,0,1500000,-24645345,0,-23145345,-17741437,79855240,79855240,62113803,1520430,0,296696222,300641874,597338096,99158504,93707334,5451170,588578,6039748,0,6039748,0.14,3635769,42578679
3300,CHOCTAW MEMORIAL HOSPITAL,1405 EAST KIRK,HUGO,OK,74743,CHOCTAW,R,103.14,"3,035",34,"12,444",727,"3,035",34,"12,444",727,3035,34,12444,727,9792,6087895,1503776,1503776,4859805,5432327,468276,8962311,8366075,28725157,37091232,711762,0,4859805,229513,0,0,6683448,3288375,0,1172997,0,368134,109562,0,12014845,0,0,0,0,14659487,273575,346774,0,824577,0,2868738,4313664,0,47734,0,667144,714878,5028542,9630945,9630945,14659487,0,0,8212135,30879473,39091608,8902027,10292132,-1390105,2456883,1066778,0,1066778,0.24,2798830,6830272
3301,SEQUOYAH MEMORIAL HOSPITAL,213 E. REDWOOD STREET,SALLISAW,OK,74955-,SEQUOYAH,U,131.29,"3,406",41,"15,006",533,"9,872",41,"15,006",533,2114,41,15006,533,31340,0,32942,618824,6316760,7325708,292494,11395383,11276480,29890561,41167041,1587454,0,6311483,0,0,0,341572,0,0,3338001,0,361016,0,0,4102627,0,0,0,0,6023720,5312408,0,0,0,0,206082,5518490,0,4396882,0,0,4396882,9915372,-3891652,-3891652,6023720,0,0,11276480,31802511,43078991,17108021,13642468,3465553,975727,4441280,4658625,-217345,0.28,1526920,7632735
3302,INTEGRIS GROVE  HOSPITAL,1001 EAST 18TH STREET,GROVE,OK,74344,DELWARE,R,163.22,"6,008",39,"14,274",1764,"9,307",39,"14,274","1,764",3931,33,12078,1764,2695846,6023242,4046188,4121250,12575280,32869500,5473793,37854738,60478637,136283358,196761995,3525628,0,12611491,46581,17172,0,3172808,0,0,28015997,-19957834,1433501,50692,0,12715164,0,3193077,525,3193602,63430425,380116,1235247,-34959,0,0,15566102,17146506,0,0,0,0,0,17146506,46283919,46283919,63430425,1422702,0,65767940,133805798,199573738,41368582,45444780,-4076198,3992544,-83654,0,-83654,0.19,3400398,26031004
3303,INTEGRIS HEALTH EDMOND,4801 INTEGRIS PARKWAY,EDMOND,OK,73034,OKLAHOMA,U,252.76,"10,611",40,"14,640",2754,"10,611",40,"14,640","2,754",7531,34,12444,2754,2609304,8806919,3970032,4663990,18592867,51013213,4997024,57312157,128755345,248616826,377372171,5410789,0,18110351,2277529,129,0,314632,0,0,41873148,-35195739,1951344,6778,0,8933968,0,0,0,0,163712328,40469246,1518514,1,0,0,7955055,49942816,0,0,0,0,0,49942816,113769512,113769512,163712328,2626161,0,128282027,249102234,377384261,70091156,69606080,485076,3753933,4239009,1,4239008,0.15,2869485,28644917
3304,THREE RIVERS MEDICAL CENTER,500 S.W. RAMSEY AVE,GRANTS PASS,OR,97527,JOSEPHINE,U,253.91,"25,796",122,"44,530",7056,"25,796",122,"44,530","7,056",21424,110,40150,7056,794096,6378458,5076292,20955711,71776612,109269890,9882366,168271904,288325522,365028697,653354219,16914291,0,72509995,968333,0,0,34963,0,0,126364014,-102947630,2431791,422470,0,19612750,0,695501,0,695501,83113855,385531,4127017,0,0,0,5005630,9518178,908763,0,0,0,908763,10426941,72686914,72686914,83113855,0,0,292227769,406943284,699171053,185817989,181046502,4771487,3034680,7806167,0,7806167,0.26,25099953,159111680
3305,ASHLAND COMMUNITY HOSPITAL,280 MAPLE ST,ASHLAND,OR,97520,JACKSON,U,59.55,"4,223",38,"13,870",1315,"4,223",38,"13,870","1,315",3211,34,12410,1315,290833,1254482,1192746,1192746,21027417,36134178,3839404,50772610,54759578,98591873,153351451,4436358,0,21188390,514666,0,0,900,0,0,27032315,-19143329,404563,144677,3095078,11156767,0,97902,0,97902,34474475,152708,981815,0,0,0,16859143,17993666,1138560,0,0,0,1138560,19132226,15342249,15342249,34474475,0,0,52680161,109999966,162680127,58265956,57161595,1104361,-5517890,-4413529,0,-4413529,0.33,12732021,27798905
3306,LEGACY GOOD SAMARITAN HOSPITAL,1015 NW 22ND AVENUE,PORTLAND,OR,97210,MULTNOMAH,U,"1,165.25","38,693",164,"59,860",9067,"48,545",200,"73,000","9,761",32813,136,49640,9067,5153097,4924126,9710680,29304195,130444412,221152724,2555140,318536574,448234220,457124309,905358529,31157515,0,130444412,1321871,345572,727440,-131118,0,0,107392730,-73583802,4077457,3981,0,43876533,0,264321,272821964,273086285,390887299,11729164,5967647,9520722,-11816981,0,5893087,21293639,0,56316287,0,327490,56643777,77937416,312949883,312949883,390887299,24101898,3116991,440003293,502402183,942405476,381981382,351597136,30384246,13359047,43743293,0,43743293,0.35,29226847,186104339
3307,SAMARITAN ALBANY GENERAL HOSPITAL,1046 SIXTH AVENUE,ALBANY,OR,97321-1517,LINN,U,839.49,"9,338",67,"24,455",2734,"9,338",67,"24,455","2,734",6998,56,20440,2734,1285460,5069750,5128538,14543069,83424875,125157710,7032602,149913543,93564639,249081604,342646243,22210828,0,83424875,1305155,0,0,6925,0,0,1191200050,-16327034,2868811,490599,-1141670893,39297214,0,9538048,149089,9687137,81259029,4138771,5336439,679464,257588,0,1265193,11677455,0,7771622,0,1981406,9753028,21430483,59828546,59828546,81259029,6154538,12415,106554920,293019087,399574007,193323671,208582585,-15258914,20565076,5306162,0,5306162,0.44,18895895,64707031
3308,SACRED HEART MED CTR - UNIVERSITY,1255 HILYARD STREET,EUGENE,OR,97440-,LANE,U,302.37,"4,085",40,"13,838",945,"60,433",93,"34,038","2,416",4085,40,13838,945,3503835,2912327,6697949,27236119,52299263,64291662,3225895,110837817,88319344,163154188,251473532,7912419,0,52299263,1873403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95647585,161904334,257551919,93579533,117852974,-24273441,6959226,-17314215,0,-17314215,0.44,15468876,81694386
3309,SANTIAM MEMORIAL HOSPITAL,1401 NORTH 10TH AVE,STAYTON,OR,97383,MARION,U,279.89,"3,428",40,"14,600",949,"45,518",40,"14,600",949,2696,36,13140,949,227289,2357052,1376611,2497914,27627916,29662186,2381834,42070932,24729441,78591200,103320641,6449098,1341186,27627916,0,0,0,6101838,0,0,17786278,-9906861,1793376,409737,425652,17818609,0,6239235,2292306,8531541,56283743,1667956,2560953,1558823,1095852,0,2388537,9272121,22362709,57645,0,0,22420354,31692475,24591268,24591268,56283743,0,0,28177654,91700403,119878057,56155978,57290102,-1134124,2503001,1368877,0,1368877,0.41,7305673,20695540
3310,ADVENTIST MEDICAL CENTER-PORTLAND,10123 SE MARKET STREET,PORTLAND,OR,97216,MULTNOMAH,U,"1,320.07","32,438",168,"61,320",9207,"32,438",211,"61,320","9,207",28887,156,56940,9207,1213645,11193661,5330236,15142501,134373295,201971215,4951127,202363554,407991172,490371183,898362355,24307238,0,134373295,2978903,0,0,148366852,0,2556632,133025378,-92493081,4320292,892129,-379,210573463,0,84870,8576249,8661119,344068475,13959270,14132664,0,0,766409,12309131,58689007,0,73963184,0,18611689,92574873,151263880,192804595,192804595,344068475,33596551,0,407991169,613523872,1021515041,317479706,336344510,-18864804,25394118,6529314,-382034,6911348,0.23,31220930,182160878
3311,SAINT VINCENT HOSPITAL,232 WEST 25TH STREET,ERIE,PA,16544,ERIE,R,"2,241.55","54,273",316,"106,872",12509,"60,199",348,"115,290","13,117",41168,255,84546,12509,586396,3214739,1556946,9219061,88640394,211541484,16469395,288125860,803153286,1162472795,1965626081,29678966,1225,88226516,5868971,0,554942,46996813,0,0,99448538,-62970107,6105944,2576215,62019,97069201,0,71075172,20595666,91670838,362295950,18454142,6641757,0,37959446,1250000,0,69946851,0,0,0,85380123,85380123,155326974,206968976,206968976,362295950,29705560,1998031,803153286,1162472795,1965626081,328177382,300181878,27995504,22618560,50614064,0,50614064,0.15,28285121,260696373
3312,LEHIGH VALLEY HOSPITAL - SCHUYLKILL,420 SOUTH JACKSON STREET,POTTSVILLE,PA,17901,SCHUYLKILL,U,702,"26,738",118,"43,188",5303,"61,442",186,"68,076","6,408",22980,108,39528,5303,1084800,11297426,4497824,4497824,51991376,75172271,5006520,130065493,212196665,251056766,463253431,14794945,0,51991376,1443611,8982,0,-759216,0,0,61438847,-51722747,1752703,275948,1300751,20927943,0,9469697,47463350,56933047,128588284,2565865,3569602,1298851,0,0,39324179,46758497,55674647,0,0,26633620,82308267,129066764,-6486586,-478480,128588284,0,0,212196665,251056766,463253431,108638190,127163647,-18525457,2845354,-15680103,0,-15680103,0.28,13930331,65617661
3313,MERCY CATHOLIC MEDICAL CENTER,LANSDOWNE AVE & BAILEY RD.,DARBY,PA,19023,USA,U,"1,484.78","59,185",292,"106,872",12190,"69,518",340,"124,440","13,252",54737,254,92964,12190,7060751,23743698,13387809,13387809,121684539,279241787,9372808,322030815,842895889,663192814,1506088703,31592778,0,121576691,562101,176555,1765551,21753917,51460858,0,153385765,-120853864,6015285,2073523,0,126122795,0,0,274270,274270,167316405,43130761,69598320,0,0,114187,71312,129664937,0,80415272,0,7707291,88122563,217787500,-23958145,-50471095,167316405,25735316,5072243,842895886,664985904,1507881790,288405125,400926326,-112521201,20965377,-91555824,55217915,-146773739,0.21,91070409,520941926
3314,LEHIGH VALLEY HOSPITAL-HAZLETON,700 EAST BROAD STREET,HAZLETON,PA,18201,LUZERNE,U,495,"19,406",122,"49,044",5072,"38,678",138,"54,900","5,359",16194,122,44652,5072,1432905,7377768,3220724,8443516,35578920,75933351,4274367,107899451,214053383,443957111,658010494,11955375,0,35578920,7897114,0,0,27876069,0,0,50085048,-37223584,2095586,637844,0,25783244,0,132997226,8950266,141947492,219499564,1465650,3172759,1686101,5034273,0,592814,31154584,0,45727484,0,14629274,60356758,91511342,127081707,127988222,219499564,0,0,214222144,444210554,658432698,113592796,111512271,2080525,10038701,12119226,0,12119226,0.16,12122784,133992680
3315,BLUE MOUNTAIN HOSPITAL,211 N. 12TH STREET,LEHIGHTON,PA,18235,CARBON,U,383.55,"13,839",68,"24,888",2331,"44,250",201,"73,566","3,566",12415,62,22692,2331,1417063,2601273,2201783,6532528,33698058,37740618,11194217,72795555,176876447,195402861,372279308,7697134,0,33698058,0,2091,0,4934115,0,0,9795988,-6679186,1038792,488320,0,11049704,0,2890907,40220626,43111533,87909394,1217852,3217995,72446,0,0,11704609,28429571,0,22276619,0,60418797,82695416,111124987,-25927572,-23215593,87909394,0,0,178918917,202259191,381178108,68075289,71353404,-3278115,7077488,3799373,7541159,-3741786,0.2,6486674,62415950
3316,SHARON REGIONAL HEALTH SYSTEM,740 EAST STATE STREET,SHARON,PA,16146-2096,MERCER,R,861.83,"30,061",174,"63,640",6444,"46,201",212,"77,548","6,444",26278,153,55954,6444,398641,6406485,1728864,7416020,48774977,94586897,-2318563,116760340,265323591,376967221,642290812,11180605,50948,48774977,224837,0,0,-7002,0,0,94299436,-80989914,3767391,738820,0,18580669,0,876152,84349,960501,24490502,3160308,5396305,0,0,0,8668231,17224844,0,0,0,24982088,24982088,42206932,-17716430,-17716430,24490502,0,0,265323590,377769431,643093021,123033991,143798381,-20764390,4556861,-16207529,0,-16207529,0.18,12936855,97827761
3317,PRESBYTERIAN MEDICAL CENTER,39TH & MARKET STREETS,PHILADELPHIA,PA,19104-,PHILADELPHIA,U,"2,737.64","95,157",324,"118,794",16213,"414,218",365,"133,800","16,744",74774,254,93042,16213,2624289,16275148,13092215,30884620,294396079,656446234,28235230,643489563,2162123333,1981666169,4143789502,57969889,0,286191220,6762951,0,3155247,0,36664000,0,83446000,0,0,0,54298000,175386000,0,157030000,133089000,290119000,832757000,150000,38718000,0,5555000,0,107891000,152314000,105462000,0,0,95171000,200633000,352947000,479810000,479810000,832757000,42029445,16254915,2162123333,1981666169,4143789502,741651502,873903003,-132251501,194033000,61781499,0,61781499,0.16,84761517,741252039
3318,AVERA SACRED HEART HOSPITAL,501 SUMMIT ST,YANKTON,SD,57078,YANKTON,R,653.42,"9,329",75,"27,450",3368,"73,460",262,"95,892","3,368",6626,65,23790,3368,739652,4327413,2092013,4482507,53860058,78711458,5677588,83861664,117596618,173849582,291446200,7549436,0,53860058,193606,49025,0,841307,0,0,15001740,0,2598528,709142,0,23653754,0,276770605,8799522,285570127,379022653,4013821,7030945,0,1578534,0,22427018,36207510,0,42247036,0,1955088,44202124,80409634,298613019,298613019,379022653,0,0,123021435,196615629,319637064,130110970,137205098,-7094128,13049996,5955868,1273158,4682710,0.29,2917829,18448141
3319,AVERA MCKENNAN,1325 SOUTH CLIFF,SIOUX FALLS,SD,57117-5045,MINNEHAHA,U,"4,306.77","114,567",479,"172,410",24178,"161,590",631,"228,042","24,843",93403,399,143274,24178,7370307,47793041,21935717,40068963,409068144,408928150,41821851,629573278,1099160582,1315327077,2414487659,48370190,0,411141371,7587515,0,0,164205052,0,0,154228566,0,44452805,7110252,0,438607011,0,295307032,128340851,423647883,1477974949,46518065,64383790,0,9124840,0,181036211,301062906,0,422061638,0,81894722,503956360,805019266,672955683,672955683,1477974949,5887768,1387932,1103425575,2293927657,3397353232,1151373554,1340865489,-189491935,184547675,-4944260,0,-4944260,0.26,39218842,212431225
3320,SANFORD USD MEDICAL CENTER,1305 W 18TH ST,SIOUX FALLS,SD,57117-5039,MINNEHAHA,R,"4,847.47","113,356",452,"164,980",24964,"118,260",473,"172,645","25,306",83219,355,129575,24964,17026380,44901153,33171381,40913339,418101440,566152515,38170522,702071632,1672192352,1606807675,3279000027,57557133,0,418101440,1811541,0,175389,-35327,811281,0,475632357,-317676695,19117871,1149782,0,178999269,0,1641523,4970452,6611975,555785514,22482744,1243037,1201111,8514133,0,1817868,35258893,0,81073749,0,30251465,111325214,146584107,409201407,409201407,555785514,12265027,4947224,1654268338,1984073199,3638341537,1010986443,984253955,26732488,153195926,179928414,34755189,145173225,0.21,66507237,346777362
3321,SANFORD ABERDEEN MEDICAL CENTER,3015 3RD AVE SE,ABERDEEN,SD,57401,BROWN,R,354.27,"3,726",48,"17,520",1605,"7,708",48,"17,520","1,605",3113,48,17520,1605,1893182,2764470,3616901,4956669,31401855,38416434,3253390,54945400,23711792,105197137,128908929,3871005,39947,31401855,332305,0,0,850,0,0,18329581,-10616373,1080785,0,0,8794843,0,0,0,0,51782553,685388,0,0,2042667,0,1559898,4287953,0,29981693,0,0,29981693,34269646,17512907,17512907,51782553,0,0,23446640,122360098,145806738,56519319,69763447,-13244128,808945,-12435183,0,-12435183,0.43,1911470,7679768
